Fase de Investimento,N.. Transaccoes SCR, ( +/-Valia (€) SCR,% SCR,N.. Transaccoes FCR, ( +/-Valia (€) FCR,% FCR,N.. Transaccoes Total, ( +/-Valia (€) Total,% Total
Seed Capital,1,0,0,5,9832618.9,-0.3086052678,6,9832618.9,-0.4404627289
Start-up,1,50016.6,0.005243880064,26,-121292.6,0.003806873396,27,-71276,0.003192885007
Early Stage,2,11658022.9,1.222259687,2,-109568,0.003438886661,4,11548454.9,-0.5173254462
Expansao,5,0,0,11,-2452043.1,0.07695949829,16,-2452043.1,0.1098419054
Capital de substituicao ,1,-56114.8,-0.005883232387,13,-32340875.2,1.015046403,14,-32396990,1.451257978
Turnaorund,3,0,0,5,-538220.1,0.0168925044,8,-538220.1,0.02411014771
Ref. Da divida bancaria,0,0,0,2,-1057867.4,0.03320208538,2,-1057867.4,0.04738830688
Management buy out,2,-345555,-0.0362289515,6,-2274227.1,0.07137858899,8,-2619782.1,0.1173559542
Management buy in,0,0,0,0,0,0,0,0,0
Outros,3,-1768279.7,-0.1853913834,1,-2800000,0.08788042723,4,-4568279.7,0.2046409979
Total,18,9538090,1,71,-31861474.6,1,89,-22323384.6,1