,SCR,var 2012/2011,FCR ,VAR 2012/2011,Total,var 2012/2011
Valor dos investimentos,568.6,-3.2,2250.1,40.8,2818.7,29
Participacoes em capital social (cotadas),16.5,9.7,25.7,-23.5,42.2,-13.2
Em Empresas Residentes,10,0.1,25.7,-20.9,35.7,-16
Em Empresas Nao Residentes,6.5,29,0,-100,6.5,6.1
Participacoes em capital social (nao cotadas),418.3,-14.9,635.8,-8.2,1054.1,-11
Em Empresas Residentes,49.6,14.8,463.8,-15.4,513.4,-13.1
Em Empresas Nao Residentes,368.7,-17.8,172,18.9,540.7,-8.9
Outros investimentos (1),56.1,-30.5,1573.5,80.5,1629.6,71.1
Em Empresas Residentes,31.4,80.1,1559.2,82.9,1590.6,82.9
Em Empresas Nao Residentes,24.7,-61,14.3,-26.3,39,-52.9
Investimentos em UP de FCR,77.7,-14.3,15.1,6.5,92.8,-11.5
Depositos e Outros Meios Liquidos afectos a CR,65.4,-11.7,152.7,-13.7,218.1,-13.1
Outros (2),3.2,23.9,86,-12.8,89.2,-11.8
Total,637.2,-15.6,2488.8,31.8,3126,18.3