,SCR,FCR,Total,%
Total do Investimento,490909.50,2234946.50,2725856.00,1
Participacoes em empresas cotadas,16516.7,25683.1,42199.80,0.01548130202
Empresas Residentes,10049,25683.1,35732.10,0.01310857947
Empresas nao residentes,6467.7,0,6467.70,0.00237272255
Espanha,0,0,0.00,0
Estados Unidos,0,0,0.00,0
Brasil,6467.7,0,6467.70,0.00237272255
Participacoes em empresas nao cotadas,418298.00,635774.60,1054072.60,0.3866941614
Empresas Residentes,49616.9,463788.9,513405.80,0.1883466331
Empresas nao residentes,368681.1,171985.7,540666.80,0.1983475283
Espanha,17052.9,4759.7,21812.60,0.008002110163
Franca,53.4,3985.1,4038.50,0.001481552951
Reino Unido,333224.9,935.7,334160.60,0.1225892344
Holanda,0,0,0.00,0
Estados Unidos,113.3,52573.1,52686.40,0.01932838712
Brasil,0,22981,22981.00,0.008430746158
Luxemburdo,18235.9,79120.7,97356.60,0.03571597326
Austria,0,7630.4,7630.40,0.002799267459
Malta,0.7,0,0.70,0.0000002568000657
Outros Investimentos,56094.8,1573488.8,1629583.60,0.5978245366
Empresas Residentes,31420.6,1559174.5,1590595.10,0.5835213232
Empresas nao residentes,24674.2,14314.3,38988.50,0.01430321338