Fases de Investimento,N.. Part (1) SCR,Valor SCR,% SCR,N.. Part (1) FCR,Valor FCR,% FCR,N.. Part (1) Total,Valor Total,% Total
Venture Capital,69,51.2,0.09004572635,469,288.8,0.1283555556,538,340,0.1206272618
Seed capital,5,17,0.02989799508,102,30.5,0.01355555556,107,47.5,0.01685233804
Startup,42,32.6,0.05733380232,300,202.2,0.08986666667,342,234.8,0.08330376783
Early stage,22,1.6,0.002813928948,67,56.1,0.02493333333,89,57.7,0.02047115589
Private Equity,123,517.4,0.9099542737,514,1961.2,0.8716444444,637,2478.6,0.8793727382
Expansao ,49,413.5,0.7272247626,224,289.4,0.1286222222,273,702.9,0.2493791244
Capital de substituicao,14,20.5,0.03605346465,48,178.6,0.07937777778,62,199.1,0.07063790534
Turnaorund,6,0.4,0.0007034822371,114,1155.2,0.5134222222,120,1155.6,0.4099907756
Refinanciamento da divida banÂ´caria,0,0,0,36,50.6,0.02248888889,36,50.6,0.01795217484
Management buyout,12,21.4,0.03763629968,45,115.8,0.05146666667,57,137.2,0.04867664798
Management buyin,0,0,0,14,51.8,0.02302222222,14,51.8,0.01837791812
Outros,42,61.6,0.1083362645,33,119.8,0.05324444444,75,181.4,0.06435819201
Total,192,568.6,1,983,2250,1,1175,2818.6,1