Fase de Investimento,Aquisicoes SCR,Alienacoes SCR,Invest. Liquido SCR,N.. Trans. SCR,Aquisicoes FCR,Alienacoes FCR,Invest. Liquido FCR,N.. Trans. FCR,Aquisicoes FCR,Alienacoes FCR,Invest. Liquido FCR,N.. Trans. FCR
Startup,878.8,100.1,978.9,4,32370.5,6202.3,26168.2,45,33249.3,6302.4,26946.9,49
Earlu stage,70,40,110,5,10725.9,201,10524.9,25,10795.9,241,10554.9,30
Seed Capital,16473,30,16503,2,11320.6,19067.1,-7746.5,21,27793.6,19097.1,8696.5,23
Turnaround,150,150,300,6,8456.6,6.1,8450.5,15,8606.6,156.1,8450.5,21
Management Buy in,0,0,0,0,3427.5,0,3427.5,1,3427.5,0,3427.5,1
Ref. Divida bancaria,0,0,0,0,1445,0,1445,6,1445,0,1445,6
Management Buy out,0,580,580,2,0,1919,-1919,6,0,2499,-2499.00,8
Outros,329.3,9291.3,9620.6,6,1010,0,1010,9,1339.3,9291.3,-7952,15
Capital de substituicao ,0,0,0,1,12647.6,67980.7,-55333.1,25,12647.6,67980.7,-55333.1,26
Expansao,73035.2,170040.1,243075.3,13,31028.3,3286.1,27742.2,23,104063.5,173326.2,-69262.7,36
Total,90936.3,180231.5,271167.8,39,112432,98662.3,13769.7,176,203368.3,278893.8,-75525.5,215